                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3138,                 8.2178,                 2.3155,                0.03579,                0.03774,                0.01167,                0.00287,                 2.4477,                 7.8199,                 2.0543,                 0.0001,                 0.0001,                 0.0001
                      1,                 2.8312,                 5.4516,                 2.0174,                0.20739,                0.20755,                0.12544,                0.03185,                 2.5526,                 17.837,                  1.935,             0.00021782,             0.00021782,             0.00021782
                      2,                 2.2395,                 2.8302,                 1.4364,                0.37883,                0.54087,                0.35714,                0.13138,                 1.8186,                 3.5846,                 1.5482,             0.00033327,             0.00033327,             0.00033327
                      3,                 1.9332,                 1.9737,                 1.3969,                0.54989,                0.56604,                0.54888,                0.26215,                  1.712,                 2.1693,                 1.4344,             0.00044634,             0.00044634,             0.00044634
                      4,                 1.8552,                  1.691,                 1.3323,                0.75413,                0.69811,                0.80604,                0.39126,                 1.6689,                 2.0085,                 1.4258,             0.00055703,             0.00055703,             0.00055703
                      5,                 1.9249,                 1.4714,                  1.332,                0.73369,                0.72782,                0.73004,                0.36416,                 1.6024,                 2.7346,                 1.3777,             0.00066535,             0.00066535,             0.00066535
                      6,                 1.8274,                 1.4245,                 1.2912,                0.76605,                0.64151,                0.67328,                0.29648,                 1.6878,                 2.5501,                 1.4122,             0.00077129,             0.00077129,             0.00077129
                      7,                 1.7402,                 1.3281,                 1.2752,                 0.7867,                0.71698,                0.73218,                0.34478,                 1.7665,                 1.7529,                 1.4752,             0.00087486,             0.00087486,             0.00087486
                      8,                 1.7637,                 1.1734,                 1.2915,                0.69761,                0.69811,                0.71994,                0.30759,                 1.8866,                 2.1019,                 1.5562,             0.00097605,             0.00097605,             0.00097605
                      9,                 1.7302,                 1.2154,                 1.2816,                0.86731,                0.61676,                0.76085,                0.35706,                 1.8626,                 1.5645,                 1.5517,              0.0010749,              0.0010749,              0.0010749
